NOM;DOSAGE1;FORME
CEFAPEROS;500;POUDRE POUR SUSPENSION BUVABLE
PANALGIC;500 / 50;COMPRIME
MYTELASE;10;COMPRIME SECABLE
MIBRAL;10;COMPRIME
TRASYLOL;0.5;SOLUTION INJECTABLE
DYNASTAT;20;POUDRE POUR SOLUTION INJECTABLE
ORADEXON ELIXIR;0.05;SUSPENSION BUVABLE
NIFROZID;4;SUSPENSION BUVABLE
SKINOSALIC;0.05 / 2;LOTION
DALIBOUR;0.1 / 0.35;CREME
SOMATOSTATINE;3;POUDRE POUR SOLUTION INJECTABLE
SOMATOSTATINE;3;POUDRE POUR SOLUTION INJECTABLE
ARANESP 20 µG;20;SOLUTION INJECTABLE
ARANESP 20 µG;20;SOLUTION INJECTABLE
SEPCEN 250 MG;250;COMPRIME
NOVEX;10000;SOLUTION INJECTABLE
TOBREX;0.3;COLLYRE
ZOLADEX 3.6 MG;3.6;IMPLANT INJECTABLE
ASKARDIL 75MG;75;COMPRIME DISPERSIBLE
ORELOX;40;GRANULE POUR SUSPENSION BUVABLE
RIABAL ENF;250;SOLUTION BUVABLE
ASPEGIC ENF;250;POUDRE POUR SOLUTION BUVABLE
NEUROCYNESINE;;COMPRIME
LIPANTHYL;200;GELULE
MORPHINE MERAM 1%;10;SOLUTION INJECTABLE
ACLAV;1 / 125;POUDRE POUR SUSPENTION BUVABLE
COVERAM 10MG/5MG;10 / 5;COMPRIME
ALFATIL;500;GELULE
GENTAMEN 80;80;SOLUTION INJECTABLE
PRAMIDOL;0.1;SIROP
AVAMYS 27.5 µG/PULVERISATION;0.0275;SUSPENSION POUR PULVERISATION NASALE
AVAMYS 27.5 µG/PULVERISATION;0.0275;SUSPENSION POUR PULVERISATION NASALE
HEXAPNEUMINE ENF;;SUPPOSITOIRE
PIROXAM;20;SUPPOSITOIRE
FLOXAM;500;GELULE
XELODA;500;COMPRIME PELLICULE
MIBRAL;10;COMPRIME
TEMODAL;250;GELULE
AMOXIL;500;COMPRIME DISPERSIBLE
EPREX 2000 UI/ML;1000;SOLUTION INJECTABLE
PIPORTIL;4;SOLUTION POUR GOUTTES BUVABLES
PIPORTIL;4;SOLUTION POUR GOUTTES BUVABLES
ORADEXON ELIXIR;0.05;SUSPENSION BUVABLE
TREMADOL;50;COMPRIME
CURACNE;10;CAPSULE MOLLE
DOLIPRANE VITAMINE C;500 / 150;COMPRIME EFFERVESCENT
ZILDAM;1;CREME
PIPERACILLINE MYLAN;4;POUDRE POUR SOLUTION INJECTABLE
SYNNAX;100;COMPRIME
SYNNAX;100;COMPRIME
ODIA;2;COMPRIME
ACEPRIL;8;COMPRIME
ACEPRIL;8;COMPRIME
RECORMON;2000;PREPARATION INJECTABLE
REVATIO 20 MG;20;COMPRIME PELLICULE
REVATIO 20 MG;20;COMPRIME PELLICULE
SPECTRUM;0.3;COLLYRE
SPECTRUM;0.3;COLLYRE
BARACLUDE;0.5;COMPRIME PELLICULE
BARACLUDE;0.5;COMPRIME PELLICULE
HYTACAND;8 / 12.5;COMPRIME
CEFTRIAXONE MYLAN;2;POUDRE POUR SOLUTION INJECTABLE
INDOCOLLYRE;0.1;COLLYRE
AMOXICILLINE/ACIDE CLAVULANIQUE MYLAN;500 / 50;POUDRE POUR SOLUTION INJECTABLE
UVIMAG B6;500 / 125;SOLUTION BUVABLE
AMOXICILLINE/ACIDE CLAVULANIQUE MYLAN;1 / 100;POUDRE POUR SOLUTION INJECTABLE
AMOXICILLINE/ACIDE CLAVULANIQUE MYLAN;1 / 100;POUDRE POUR SOLUTION INJECTABLE
DIURIMAT 1.5 MG LP;1.5;COMPRIME PELLICULE LP
DIURIMAT 1.5 MG LP;1.5;COMPRIME PELLICULE LP
ADRENALINE 1 MG;1;SOLUTION INJECTABLE
LANPROL;30;GELULE
FRAXIPARINE;2850;SOLUTION INJECTABLE
COMBANTRIN;250;COMPRIME A CROQUER
ANTINOREX;2;SOLUTION BUVABLE
EFFIPRED;1;SOLUTION BUVABLE
FLUOROURACIL EBEWE;250;SOLUTION POUR PERFUSION
CIPROXINE;750;COMPRIME PELLICULE
PERNABOL;4;COMPRIME
AVT;500 / 20;COMPRIME EFFERVESCENT
